planner_phase,subspace_method,rank_k,count,gap_to_sim_chunk_mean_l2_mean,gap_to_sim_chunk_mean_l2_p50,gap_to_sim_chunk_mean_l2_p90,gap_to_sim_first_translation_l2_mean,gap_to_sim_first_translation_l2_p50,gap_to_sim_first_translation_l2_p90,gap_to_sim_first_rotation_l2_mean,gap_to_sim_first_rotation_l2_p50,gap_to_sim_first_rotation_l2_p90,gap_to_sim_first_gripper_abs_mean,gap_to_sim_first_gripper_abs_p50,gap_to_sim_first_gripper_abs_p90,repr_gap_reduction_ratio_mean,repr_gap_reduction_ratio_p50,repr_gap_reduction_ratio_p90,action_gap_reduction_mean,action_gap_reduction_p50,action_gap_reduction_p90,improved_count,worsened_count
alignment,random_basis,4,85,0.7128394565346703,0.7546702686818036,0.8881968373713831,0.004871034898903333,0.004735206304369244,0.007608086869231311,0.012385341685150666,0.011393531287841796,0.01900143588637744,0.5313546874943902,0.5386469960212708,0.8388051152229309,1.699330428782805e-05,1.1887804084348052e-05,3.7196713678921076e-05,4.792865689698193e-05,3.90022820342395e-05,0.0006961099073157009,46,39
alignment,random_basis,8,85,0.7128300979149403,0.7546818909760917,0.8881823126146147,0.00487105725297489,0.00473366192211649,0.00760616427882781,0.01238704082988922,0.011394419471830617,0.019005111769460962,0.531400920012418,0.5394783020019531,0.8384915828704834,2.3250387426553396e-05,2.0071140251606778e-05,3.5878298627190336e-05,5.7287276626950413e-05,5.001068732757297e-05,0.0007431197827255544,47,38
alignment,random_basis,16,85,0.7128002991093902,0.7545973354137956,0.8881156625657348,0.004870483287869832,0.004731765682792247,0.0076040961901552625,0.012382614963702247,0.011394912998403462,0.01898640045801661,0.5313573979279574,0.5393768548965454,0.8386267066001892,5.311908171943162e-05,5.332972855263186e-05,7.716926850385932e-05,8.708608217697823e-05,0.00011915357819991534,0.0006819821296965902,49,36
alignment,random_basis,32,85,0.7127543737697871,0.7545426377330862,0.8880763333600119,0.004868492836745991,0.004733514951862004,0.007598440110739313,0.012380344599625885,0.011404177154502562,0.018994752763074878,0.5310717337271746,0.5389061570167542,0.8382584929466248,0.00012052697888926083,0.00012084463803806314,0.00015243003657041385,0.00013301142177996278,0.00011923934927504654,0.0007726766894401216,52,33
alignment,random_basis,64,85,0.712565194955985,0.7546499125289872,0.8880904315006753,0.004870082995209211,0.004735855445447968,0.007608620511608816,0.012382075790714403,0.011385455473394578,0.018999762053335242,0.531028631680152,0.5383734107017517,0.8381325125694274,0.00022039704144008498,0.0002239255391893748,0.0002597159535307213,0.0003221902355820806,0.0003152888861993608,0.0011241206577037477,62,23
alignment,random_basis,128,85,0.7123430445143307,0.7543494063560306,0.8880284183338472,0.0048689733646128325,0.004727854844688169,0.007608856165105763,0.012369380305101499,0.011391178319593747,0.01896544170588429,0.5306111724937663,0.5384990572929382,0.8384777426719665,0.00044001107220808817,0.00043666202927013155,0.0004968848366492869,0.0005443406772364065,0.0005727833216533362,0.0012501353570708586,68,17
alignment,sensitive_basis,1,85,0.2794399660313265,0.27648658728686404,0.39564124721595045,0.0018078670562311566,0.0018006510161082939,0.0025425180893615344,0.00394080629374925,0.0036805332168311886,0.007848448050218601,0.004644206664798891,0.002789982594549656,0.009523936361074474,0.01753472880708915,0.01736447980497413,0.029136965828319348,0.4334474191602407,0.4485635260153428,0.5765599835802294,85,0
alignment,sensitive_basis,2,85,0.08678973328414369,0.07100814231052381,0.1655591558263401,0.001495405616308448,0.001410716988160663,0.0020212857143088437,0.005489348721312818,0.005343073522715682,0.009759062339596022,0.031644427124410866,0.023499689996242523,0.07154382914304734,0.022969866524487733,0.02489112730066571,0.035951798297500566,0.6260976519074235,0.6677285961657502,0.7652410590143955,85,0
alignment,sensitive_basis,4,85,0.07839338099662829,0.068345897695097,0.1431159321984509,0.0013126545632600422,0.001214666292031062,0.001975456400225223,0.004014343644376061,0.004121334779362451,0.007351416317975384,0.01094393743585576,0.006941252388060093,0.025574802607297907,0.024138649323914435,0.026223664251558684,0.03720251084964253,0.634494004194939,0.6692528585536139,0.7824767197392382,85,0
alignment,sensitive_basis,8,85,0.0768326159637542,0.06350702842840157,0.14368355546131856,0.0016746533502649587,0.001618600806891495,0.002256142058316829,0.00574464849784095,0.005912718440239841,0.009818862383386247,0.010813365958850173,0.007850956171751022,0.020986463129520423,0.0267458070670556,0.029179566366710742,0.04046969633089648,0.6360547692278129,0.6854920251524007,0.7795131421634961,85,0
alignment,sensitive_basis,16,85,0.020435104200088636,0.017236338248663857,0.0375688863334118,0.001246394540182663,0.001128049172220435,0.0020123083119589,0.0018389070725379913,0.0016628958243360258,0.0029645490825832297,0.0036139999105430703,0.0017639677971601486,0.00892720445990563,0.03133562310429483,0.033051804233911304,0.04726092783789184,0.6924522809914787,0.729442056336223,0.860450080309324,85,0
