feature,frame,episode_id,progress,before_cosine_distance,after_cosine_distance,cosine_improvement,before_l2,after_l2,l2_improvement,shift_norm
vision_backbone.output,episode_000002_000016,episode_000002,16,0.0982625829772058,0.042149020527688985,0.05611356244951682,69.3735856584852,47.88858322838525,21.485002430099946,65.64693027387007
vision_backbone.output,episode_000002_000017,episode_000002,17,0.10922231033469498,0.03749612522822188,0.0717261851064731,73.22756204821194,45.23789069056852,27.989671357643417,67.46182160828451
vision_backbone.output,episode_000002_000018,episode_000002,18,0.11031252845656492,0.0372643814590371,0.07304814699752782,74.23486299510232,45.306169511558345,28.928693483543974,69.328296072337
vision_backbone.output,episode_000002_000019,episode_000002,19,0.1095439069622347,0.035307424496470396,0.07423648246576431,74.45055721406398,44.42004233396485,30.030514880099126,71.39298859961907
vision_backbone.output,episode_000002_000020,episode_000002,20,0.10974938104885978,0.036656898678520955,0.07309248237033883,74.49134684912408,45.4841652830246,29.007181566099483,73.33747247336323
vision_backbone.output,episode_000002_000021,episode_000002,21,0.10949016657086674,0.038780871791800564,0.07070929477906618,74.40447978186842,47.07035744526591,27.334122336602505,75.19826165631386
vision_backbone.output,episode_000002_000022,episode_000002,22,0.12036050457414627,0.042802591871287876,0.07755791270285839,78.75164479963725,49.42779078787532,29.32385401176193,76.9977033502874
vision_backbone.output,episode_000002_000023,episode_000002,23,0.1396971292840019,0.047258559058727445,0.09243857022527446,83.83271321847496,51.871992197504554,31.96072102097041,78.90104554314959
vision_backbone.output,episode_000002_000024,episode_000002,24,0.1538075742049192,0.045302118617535636,0.10850545558738356,89.43620602210926,51.670515073614,37.76569094849526,81.12791328330066
vision_backbone.output,episode_000002_000025,episode_000002,25,0.19006333292209865,0.059481943409754545,0.1305813895123441,98.68814824687892,58.22657052698038,40.46157771989854,83.57136889402705
vision_backbone.output,episode_000002_000026,episode_000002,26,0.20347051789170179,0.06493857617286647,0.13853194171883532,103.39963935804077,60.93810777354802,42.461531584492754,86.10037183308249
vision_backbone.output,episode_000002_000027,episode_000002,27,0.1829543953550412,0.06057277475617906,0.12238162059886215,100.7202238535781,61.406951621227336,39.31327223235077,88.21662142110299
