condition,correction_mode,fold_episode,frame,episode_id,progress,planner_phase,raw_gap_first_l2,raw_gap_first_translation_l2,raw_gap_first_rotation_l2,raw_gap_first_gripper_abs,raw_gap_chunk_mean_l2,raw_gap_chunk_max_l2,gap_to_sim_first_l2,gap_to_sim_first_translation_l2,gap_to_sim_first_rotation_l2,gap_to_sim_first_gripper_abs,gap_to_sim_chunk_mean_l2,gap_to_sim_chunk_max_l2,repr_gap_raw,repr_gap_corrected,repr_gap_reduction_ratio,action_gap_reduction
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000016,episode_000003,16,alignment,0.12373921530111054,0.002967964529355083,0.006453662539609948,0.12353515625,0.42058597429105327,0.6464955074477464,0.00723526318108452,0.001252308863001777,0.002355517703990619,0.006725495681166649,0.04760125536676668,0.11322264832225432,194.4270728320837,239.13031416434114,-0.2299229252443936,0.3729847189242866
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000017,episode_000003,17,alignment,0.12109670993851313,0.0031682373127798072,0.007053179720679427,0.120849609375,0.4344130018501736,0.679698294376665,0.006875852940886061,0.001142314753509015,0.0017982310858505298,0.006537494598887861,0.03968990341647294,0.08791804012010965,198.1485909413346,240.97898507017817,-0.21615290790295996,0.3947230984337007
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000018,episode_000003,18,descent_to_grasp,0.11573422050249585,0.0031754605870503577,0.007002761914205895,0.115478515625,0.42174460620455656,0.66797985160283,0.009905050702388512,0.0038271976593236864,0.004484092981091575,0.007959616676089354,0.06583799590822928,0.14951391715198864,195.4534764541512,279.11576543392675,-0.4280419591278069,0.3559066102963273
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000019,episode_000003,19,descent_to_grasp,0.1343350421633062,0.0035869271334518235,0.0066020733424895115,0.134124755859375,0.4891609239102981,0.7597781387278211,0.00885984540280002,0.0035568517999889472,0.0050006653179855065,0.006390540838765446,0.0550720557146947,0.12047534437450007,210.41390006431067,283.6860417345007,-0.3482286182034324,0.4340888681956034
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000020,episode_000003,20,descent_to_grasp,0.25279423780452087,0.0038845277379192062,0.0063128053909631155,0.252685546875,0.5857044990331584,0.7578249098232055,0.00884378916210052,0.0006967451566790543,0.00042529668292202294,0.008806036319583654,0.05623642052090279,0.15152572125114805,221.56282694653004,242.01533296040682,-0.09231018711822361,0.5294680785122555
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000021,episode_000003,21,descent_to_grasp,0.374576494216803,0.0026632796557332908,0.006436573634078398,0.37451171875,0.4948498181255033,0.5966873995664971,0.04058949463788658,0.0024555940792682085,0.001015892122990437,0.040502408519387245,0.10071917965835626,0.13733203226193066,211.77835864396346,230.56992057709766,-0.08873221066334787,0.3941306384671471
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000022,episode_000003,22,descent_to_grasp,0.532267866245197,0.0026861088153537632,0.006062377922938938,0.5322265625,0.3949657196158275,0.5713012374951203,0.04219481608714099,0.0015630899276363093,0.0024796232160170088,0.042092882096767426,0.10912961589894805,0.19116452729070615,233.54498391118463,245.85220753264895,-0.05269744361602157,0.28583610371687945
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000023,episode_000003,23,descent_to_grasp,0.5576261691158148,0.0023906618834543592,0.002073987253594034,0.5576171875,0.3635736859646992,0.6074294836369998,0.09067142916475555,0.0017302120954423164,0.0002947889521913313,0.09065444022417068,0.09790963436441733,0.15639565749847112,231.23007297573295,245.8752207156825,-0.06333582631134024,0.26566405160028184
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000024,episode_000003,24,descent_to_grasp,0.5556706067955672,0.001843649877698695,0.0019682117971553284,0.5556640625,0.32298806160028126,0.5556706067955672,0.14545143005816696,0.0028917961647277625,0.0007136584612388534,0.14542092941701412,0.26655763863380033,0.6058049634451171,226.79675600093202,273.5034615389526,-0.20594080074861668,0.05643042296648093
aligned_P4,original_P0_trained_progress_phase_transfer,episode_000003,episode_000003_000025,episode_000003,25,descent_to_grasp,0.5810651793281383,0.002346062965823232,0.0025862618736802907,0.5810546875,0.3448479669678669,0.5810651793281383,0.11924563569345611,0.0023640292610038216,0.0011048060988944402,0.11921708099544048,0.24874501482278685,0.5797305111246115,232.75415842150704,278.5197820274247,-0.1966264487659044,0.09610295214508005
